word	n_tokens	n_docs	sites	top_series	damaged_share
o	265	224	KN:233,PY:29,TH:2,MY:1	Dl:75,De:43,Dk:31	0.42
pa-ro	227	103	PY:210,KN:14,TH:3	Cn:67,Ep:39,Eb:27	0.23
ko-wo	198	161	PY:126,KN:71,MY:1	Ad:56,Ak:41,Aa:40	0.25
pe-mo	183	67	PY:183	Ep:59,Eb:48,En:40	0.19
o-na-to	158	84	PY:158	Ep:44,Eb:36,Ea:33	0.20
e-ke	150	61	PY:144,KN:5,MY:1	Ep:47,Ea:45,En:31	0.20
to-so-de	146	72	PY:146	En:40,Eb:39,Jn:30	0.24
ko-to-na	135	74	PY:135	Ep:49,Eb:35,Ea:27	0.21
ko-wa	132	118	KN:68,PY:57,TH:7	Ak:42,Aa:35,Ab:22	0.36
vacat	125	90	PY:64,KN:45,TH:6,KH:5	X-:17,Fn:12,An:11	0.81
to-so	98	52	PY:58,KN:34,MY:4,TH:1	Ep:50,X-:9,As:8	0.31
e-ke-qe	93	60	PY:93	Eb:48,Eo:34,Ep:10	0.30
supra	91	91	TH:56,KN:14,PY:14,MI:4	Wu:56,Wr:13,Ws:12	0.03
te-o-jo	85	32	PY:85	Ep:25,Eo:23,En:21	0.24
pa	83	72	KN:82,PY:1	Dd:45,Ln:11,Dg:8	0.20
deest	82	62	PY:37,KN:28,TH:13,TI:2	X-:19,Fn:13,Cn:8	0.38
ke-ke-me-na	80	43	PY:78,KN:2	Ep:43,Eb:27,Ea:8	0.20
ki	79	69	KN:78,PY:1	Dl:55,Do:14,Dh:6	0.41
pe	76	72	KN:76	Df:28,Dc:14,Dg:9	0.22
do-e-ro	76	43	PY:65,KN:11	Ep:16,Eo:13,En:11	0.21
da-mo	76	47	PY:73,KN:3	Ep:34,Eb:27,Ea:11	0.36
ku-ta-to	63	63	KN:63	Dk:14,Da:11,Dv:8	0.30
qs	61	37	PY:61	Un:12,Cn:9,Na:6	0.80
pu-ro	60	48	PY:60	Ab:21,Ad:18,Cn:6	0.07
do-so-mo	59	15	PY:59	Es:57,Un:2	0.14
do-e-ra	58	32	PY:53,KN:5	Ep:15,Eo:12,Eb:11	0.24
sigillum	53	53	PY:21,KN:19,MY:9,MI:4	Wr:19,Ws:17,Wt:9	0.00
ka-ke-we	47	32	PY:46,KN:1	Jn:32,Ma:9,Na:5	0.23
pa-i-to	43	43	KN:43	Da:11,Dd:5,Db:5	0.35
jo	41	41	KN:31,PY:5,TH:5	Sc:5,Fp:2,Dq:2	1.00
o-pe-ro	40	35	PY:23,KN:13,MY:4	Ac:7,Ma:7,Ga:5	0.25
da-wo	38	38	KN:38	Dv:7,Da:7,Db:4	0.32
