word	count	n_docs
o	265	224
pa-ro	227	103
ko-wo	198	161
pe-mo	183	67
o-na-to	158	84
e-ke	150	61
to-so-de	146	72
ko-to-na	135	74
ko-wa	132	118
vacat	125	90
to-so	98	52
e-ke-qe	93	60
supra	91	91
te-o-jo	85	32
pa	83	72
deest	82	62
ke-ke-me-na	80	43
ki	79	69
pe	76	72
do-e-ro	76	43
da-mo	76	47
ku-ta-to	63	63
qs	61	37
pu-ro	60	48
do-so-mo	59	15
do-e-ra	58	32
sigillum	53	53
ka-ke-we	47	32
pa-i-to	43	43
jo	41	41
o-pe-ro	40	35
da-wo	38	38
o-da-a2	38	22
no	36	36
a	36	35
e	35	23
e-ko-so	34	34
ne	34	21
ko-re-te	34	7
ku	32	16
o-pi	32	27
qa-ra	31	28
ja	31	31
we-da-ne-wo	31	21
ru-ki-to	30	30
me-zo-e	29	21
di	28	20
e-ra	27	26
to-sa	27	25
ti-ri-to	26	26
do-ti-ja	26	26
to	26	26
ko	26	26
vestigia	26	24
pars	26	25
sine	26	25
regulis	26	25
wo-wo	26	14
fragmentum	25	11
reliqua	25	24
ra-to	24	24
ka	24	23
ri-jo-no	24	24
o-pa	23	23
wa	23	23
de	22	21
tu-ni-ja	22	22
we-we-si-jo	22	22
u-ta-jo	22	22
a-ke-o-jo	22	9
ke-ro-si-ja	22	2
ma-ro-pi	22	4
ra	21	21
ta	21	21
su-ri-mo	21	21
ta-ra-si-ja	21	18
ra-su-to	21	21
ma	21	10
e-ko-te	21	17
a-pu-do-si	20	20
u-ta-jo-jo	20	20
ki-ti-me-na	20	14
tu-na-no	19	19
a-ja-me-no	19	8
ka-ko	19	13
we-we-si-jo-jo	18	18
po-ro-ko-re-te	18	3
i-je-re-ja	17	12
u-ta-no	17	16
e-ko-si	17	13
ko-to-no-o-ko	17	11
wo-ka	17	17
pa-we-a	16	16
ra-ja	16	16
to-sa-de	16	13
me-no	15	15
o-ka	15	10
da-mi-ni-jo	15	15
ku-pi-ri-jo	15	15
e-qe-ta	15	9
pa-ra-jo	15	7
we-je-ke-e	15	15
ka-na-ko	15	5
pa-si-te-o-i	14	12
ko-no	14	8
a-ka	14	14
o-no	14	14
te	14	14
po-ti-ni-ja	14	14
ta-ra-nu	14	7
o-u-qe	14	9
e-re-pa-te-jo	14	8
i-qi-ja	14	14
a-ta-o	14	4
a-ta-ra-si-jo	14	14
o-u-di-do-si	14	12
me-ta-pa	13	13
di-wi-je-we	13	13
po-se-da-o-ne	13	13
se-to-i-ja	12	12
du-ni-jo	12	11
po	12	12
e-ka-ra-e-we	12	12
o-po-qo	12	12
a-ke-re-wa	12	11
a-si-ja-ti-ja	12	7
pe-i	12	6
e-ru-ta-ra	12	9
a-mi-ni-so	11	10
ra-pte-re	11	5
sa	11	9
we	11	10
po-ni-ki-jo	11	10
wo	11	11
ka-ma	11	8
me	11	10
te-re-ta	11	10
pte-re-wa	11	11
wa-to	11	9
ro-u-so	11	11
me-ta-qe	11	5
we-te-i-we-te-i	11	1
me-zo-a2	11	11
me-u-jo-a2	11	11
a-ko-da-mo	11	11
ku-do-ni-ja	10	10
to-pe-za	10	4
po-ku-ta	10	8
me-zo	10	9
pe-re	10	6
me-wi-jo-e	10	6
ri-jo	10	10
se	10	10
wi-na-jo	10	10
te-mi-dwe-ta	10	10
a-ko-ra	10	6
ne-wa	10	9
ki-ri-jo-te	10	10
a-ra-ro-mo-te-me-na	10	10
a-ja-me-na	10	10
ka-pa	9	9
qa-mo	9	9
ko-ri-ja-do-no	9	9
ko-u-ra	9	9
re-u-ko-nu-ka	9	9
ke	9	8
mi	9	5
zo-wa	9	9
di-pa	9	2
za	9	9
pu-so	9	9
wa-na-ka-te-ro	9	8
a3-mi-re-we	9	9
a-te-jo	9	9
ke-ra-ja-pi	9	9
ka-ma-e-u	9	6
pa-ko-we	9	9
au-de-pi	9	4
to-jo	9	9
tu-ri-so	8	8
ro	8	8
so	8	8
qa	8	8
zo-a	8	8
qe-te-o	8	8
sa-qa-re-jo	8	8
me-wi-jo	8	6
i-jo	8	6
pe-ma	8	6
po-me	8	8
pu-na-so	8	8
qa-si-re-wi-ja	8	3
e-ri-ka	8	8
qe	8	8
da-ra-ko	8	8
mo-ro-qa	8	5
po-ni-ki-ja	8	8
pe-ri-qo-te-jo	8	8
ko-ru-to	8	8
o-pi-i-ja-pi	8	8
ka-ra-do-ro	8	8
re-u-ko-to-ro	8	8
ka-wi-jo	8	8
angustum	8	4
ke-ki-de	8	4
ke-re-te-u	8	6
ra-wa-ke-si-jo	8	8
ma-ka	8	8
i	7	7
we-ka-ta	7	2
tu	7	7
pa-ra-ja	7	7
ri	7	7
ru-ki-ti-jo	7	7
pa-i-ti-ja	7	7
ko-no-so	7	7
ne-wo	7	7
ko-ro	7	7
a-ma	7	7
a-nu-to	7	7
ku-su-to-ro-qa	7	7
e-ne-ka	7	5
si-ja-du-we	7	7
a-tu-ko	7	7
a-ko-ro	7	7
separatum	7	4
ro-o-wa	7	7
ra-pte	7	7
ti-mi-to	7	1
a-ke-e	7	1
wo-ze-qe	7	4
pa-ki-ja-na	7	5
we-te-re-u	7	7
e-ko-to	7	6
e-re-u-te-ra	7	6
a-pi-qo-to	7	4
sa-pi-de	7	3
di-we	6	5
qe-ra-si-ja	6	6
a-nu-ko	6	5
a-to-mo	6	6
ku-re-we	6	5
te-o	6	6
wa-na-ta-jo	6	6
re-u-ka	6	6
po-po	6	6
o-na	6	6
me-u-jo-e	6	6
ri-zo	6	6
a-no-wo-to	6	1
a-pi-me-de-o	6	6
po-ti-ni-ja-we-jo	6	6
ka-ke-u	6	5
e-re-pa-te	6	6
ma-ro	6	5
to-tu-no	6	6
pa-ka-na	6	6
wi-ri-ni-jo	6	6
a-ni-ja	6	4
a-mo-ta	6	6
re	6	6
we-ke	6	4
mutila	6	5
ri-ne-ja-o	6	6
pa-ki-ja-si	6	5
a-ko-so-ta	6	6
a-pu2-we	6	6
do-qe-ja	6	1
ko-ro-ku-ra-i-jo	6	4
o-a-ke-re-se	6	1
wa-no-jo	6	2
a-ko-so-ta-o	6	4
da-we-u-pi	6	2
su-qo-ta-o	6	6
me-ri-te-wo	6	6
a3-ti-jo-qo	6	5
pa-ra-ko	6	5
a3-ti-jo-qe	6	1
ku-te-se-jo	6	3
me-na	5	5
a-re	5	5
mo	5	5
graffito	5	4
ko-no-si-jo	5	5
mi-ka-ta	5	5
wa-na-ka	5	5
wa-tu	5	4
me-ri	5	5
a-no-qo-ta	5	5
u	5	5
i-je-ro	5	5
qa-ra-jo	5	5
e-te-do-mo	5	5
ka-to-ro	5	5
mi-ru-ro	5	5
a-ro2-a	5	5
e-qe-si-ja	5	5
o-re-ne-ja	5	5
ku-ro2	5	5
me-u-jo	5	4
ko-ma-we-to	5	5
na	5	5
wa-na-ka-te	5	5
ri-no	5	5
qe-ro2	5	5
mi-ra	5	5
to-mi-ka	5	5
ko-no-si-ja	5	5
si-to	5	4
pu-te	5	5
ko-do	5	5
ku-ru-so	5	4
pa-ta	5	5
pa-na-re-jo	5	5
su-ki-ri-ta	5	5
wo-no	5	5
a-si-wi-jo	5	5
o-na-se-u	5	5
pe-ko	5	4
po-si	5	5
a-na-mo-to	5	5
o-da-twe-ta	5	5
ti	5	5
qe-re-ma-o	5	5
ka-sa-to	5	5
ke-re-za	5	5
te-ko-to-a-pe	5	1
qo-u-ko-ro	5	5
e-ro-ma-to	5	1
a-pi-a2-ro	5	5
u-ru-pi-ja-jo	5	5
e-na-po-ro	5	5
e-to-ni-jo	5	5
to-to	5	1
i-je-re-u	5	5
e-ko-me-no	5	4
ra-wa-ra-ti-jo	5	1
u-po-ra-ki-ri-ja	5	1
qe-ta-ko	5	5
ka-na-pe-u	5	4
ru-ko-ro	5	5
e-ke-e	5	3
ko-to-na-o	5	5
o-na-ta	5	5
pa-da-je-we	5	2
o-na-te-re	5	3
ta-ra2-to	5	4
o-ro-jo	5	1
ka-ru-ke	5	2
e-ra3-wo	5	5
ro-u-si-jo	5	5
so-we-no-qe	5	3
ko-ru-we	5	5
o-po-re-i	5	5
pi-ra-ko-ro	5	5
ka-si	5	5
pa-de	4	4
ka-ra-e-ri-jo	4	4
di-ka-ta-de	4	4
ki-to	4	4
pu-na-si-jo	4	4
ma-sa	4	4
qo-ta	4	4
i-wa-ka	4	4
ka-pa-ri-jo	4	4
me-nu-wa	4	4
a-ka-i-jo	4	4
a-ka-to	4	4
to-ro-wo	4	4
te-wa-jo	4	4
ke-ti-ro	4	4
da-wi-ja	4	4
ka-ro-qo	4	4
o-u-te-mi	4	1
a-ke	4	3
ku-do	4	4
do-ke	4	4
ku-ta-ti-jo	4	3
da-wi-jo	4	4
te-ra-po-si-jo	4	4
pu-ri	4	4
qe-ro	4	4
su-ko	4	4
pi	4	4
sa-mu-ta-jo	4	4
e-ra-ja	4	4
da-te-we-ja	4	4
qa-mi-ja	4	4
pe-ne-we-ta	4	4
ra-wo	4	4
e-ru-ta-ra-pi	4	3
e-ni-qe	4	4
e-te	4	4
au-ri-jo	4	4
a-ra-ko	4	4
ta-ta-ro	4	4
a3	4	4
wo-di-je-ja	4	4
a-mi-ni-si-ja	4	4
ta-de-so	4	4
a-ze-ti-ri-ja	4	4
o-nu	4	4
o-nu-ke	4	4
i-jo-te	4	4
e-re-u-ti-ja	4	4
di-da-ka-re	4	3
u-ra-jo	4	4
ke-re	4	4
ra-jo	4	4
qi-ri-ja-to	4	4
e-re-ta	4	4
a-ko-ra-jo	4	4
pa-te	4	3
pa-qo-si-jo	4	4
ke-to	4	4
di-ro	4	4
pu-to-ro	4	3
qa-na-no-to	4	4
ma-ri-ti-wi-jo	4	4
qo-te-ro	4	4
to-ko	4	1
a-ra-ru-wo-a	4	4
ta-to-mo	4	4
ka-ka	4	4
a-ra-ru-ja	4	4
a-ni-ja-pi	4	4
i-qo-e-qe	4	4
wi-ri-ne-o	4	4
de-do-me-na	4	4
pe-ru-si-nwa	4	3
e-ke-me-de	4	4
si-jo	4	4
re-u	4	4
o-pa-wo-ta	4	4
ku-no	4	4
ma-ra	4	3
ne-ja	4	4
po-to-ro-wa-pi	4	4
e-ke-ro-qo-no	4	4
a-te-re-wi-ja	4	4
ne-wo-pe-o	4	4
pe-re-ke-we	4	4
pu-ka-wo	4	3
me-ri-du-ma-te	4	4
a-to-po-qo	4	4
a-ke-o	4	4
i-na-o	4	4
o-two-we-o	4	1
o-ka-ra3	4	4
i-wa-so	4	4
e-re-e	4	3
au-ke-i-ja-te-we	4	2
we-to	4	2
we-re-ke	4	4
a-ka-ma-wo	4	4
se-no	4	4
ka-ra-u-ko	4	4
a-we-ke-se-u	4	3
ko-tu-ro2	4	4
a2-pa-tu-wo-te	4	1
o-re-e-wo	4	1
pe-to-no	4	4
a-ke-ro	4	4
ta-ra-ma-ta	4	4
po-me-ne	4	4
