word	slots	n_docs
a	N1b,N3,N6	5
a-da-ma-o	N2,N4,N5,N7	4
a-da-ra-ro	N3	1
a-da-ra-te-ja	N1	2
a-da-ra-ti-jo	N1	1
a-de-me-we	N4	1
a-de-te-re	N1	1
a-di-je-wo	N3	2
a-di-nwa-ta	N5,N6	1
a-di-ri-jo	N3	1
a-du-ru-po-to	N3	1
a-e-ri-qo	N5	1
a-e-ri-qo-ta	N1	2
a-i-qe-u	N4	2
a-ka	N1b,N3	5
a-ka-i-jo	N3,N5,N6	2
a-ka-ma-wo	N2,N5	3
a-ka-re-u-te	N1b	1
a-ka-ta-jo	N2,N3	2
a-ka-to	N3	1
a-ka-to-wa	N6	1
a-ke-e-to	N3	1
a-ke-o	N1b	1
a-ke-ra-no	N5,N6	1
a-ke-ra-wo	N2,N5,N6	2
a-ke-re-wa	N1,N1b	4
a-ke-ro	N4	1
a-ke-ta	N1	1
a-ke-ti-jo	N1	1
a-ke-ti-ra2	N1	1
a-ke-ti-ra2-o	N1b	2
a-ke-ti-ri-ja	N1	2
a-ke-u	N3	2
a-ke-wa-ta	N1	1
a-ke-wo	N6	1
a-ki-re-u	N6	1
a-ki-wa-ta	N1	1
a-ko-da-mo	N1	1
a-ko-i-da	N3	1
a-ko-mo-ni-jo	N3	3
a-ko-ra	N5	1
a-ko-ra-jo	N1,N6	1
a-ko-ro	N3	1
a-ko-ro-qo-ro	N3	1
a-ko-ro-we	N1	1
a-ko-ro-we-e	N1	1
a-ko-ro-we-i	N1	1
a-ko-so-ta	N1	1
a-ko-to-wo	N1,N2	3
a-ku-di-ri-jo	N3,N6	2
a-ma	N6	1
a-ma-no	N5,N6	1
a-ma-ru-ta	N2,N7	1
a-ma-to-wo	N1	1
a-me-a	N3	1
a-me-no	N1	1
a-me-to	N1	1
a-mi-ni-si-jo	N1,N6	2
a-mi-ni-so	N6	1
a-mo-si	N1	1
a-mo-ta-jo	N1	1
a-mu-ta-wo-no	N1	1
a-na-ki-ti	N3	1
a-na-te-u	N5	1
a-ne-o	N4	1
a-ne-te-wa	N5,N6	1
a-ne-u-da	N5,N6	1
a-ni-ja-to	N3	1
a-no	N2	1
a-no-ke-wa	N1	1
a-no-ke-we	N1b,N3	2
a-no-me-de	N1	1
a-no-no	N7	1
a-no-po	N2	1
a-no-qa-si-ja	N7	1
a-no-qo	N3	1
a-no-qo-ta	N1,N3,N6	3
a-no-ra-ta	N1,N5	2
a-no-ta	N1	1
a-nu-ko	N3	3
a-nu-mo	N3	2
a-nu-to	N6	1
a-nu-wa	N1b	1
a-nu-wa-to	N1,N6	1
a-nu-wi-ko	N1	1
a-pa-je-u	N1	1
a-pe-a-sa	N6	1
a-pe-o	N1	1
a-pe-o-te	N1	1
a-pe-te-u	N1,N5	2
a-pi-a2-ro	N1,N4	4
a-pi-da-ta	N5,N6	1
a-pi-me-de	N1,N4	2
a-pi-o-to	N1b	2
a-pi-qo-o	N1b	1
a-pi-qo-ro	N1,N1b	2
a-pi-qo-ta	N2,N5	2
a-pi-qo-ta-o	N1b	1
a-pi-ra-wo	N1	1
a-pi-re-jo	N5,N6	1
a-pi-te-wa	N1b	1
a-pi-wa-to	N1	1
a-po-ne-we	N1	2
a-pu-ko-wo-ko	N1	1
a-pu2-we	N1,N1b	3
a-qa-to	N1	1
a-qe-mo	N3	1
a-qi-ja-i	N1	1
a-qi-ro	N3	1
a-ra-da-jo	N1,N6	1
a-ra-i-jo	N1	1
a-ra-ka-jo	N1	1
a-ra-ka-te-ja	N1	1
a-ra-ka-te-ja-o	N1b	1
a-ra-ko	N1,N3,N6	3
a-ra-na-ro	N1,N6	1
a-ra-si-jo	N3	1
a-re-i	N6	1
a-re-jo	N5,N6	1
a-re-ke-se-u	N3	1
a-re-ku-tu-ru-wo	N4	1
a-re-pe-se-u	N1	1
a-re-po-zo-o	N4	1
a-re-su-ti-jo	N1	1
a-re-ta-wo	N6	1
a-re-ta2	N3	1
a-re-te-re-u	N6	1
a-ri-ja-to	N1	1
a-ri-ko	N3	1
a-ri-qa	N5	1
a-ri-qo	N1b	1
a-ri-wo-ne	N2	1
a-ro-po	N1	1
a-ro-wo-ta	N5,N6	1
a-sa-ro	N6	1
a-se-e	N1	1
a-si-wi-jo	N1,N3	2
