doc	context	sigla	epoch
HT1	LMIB	LMIB	LM
HT2	LMIB	LMIB	LM
HT3	LMIB	LMIB	LM
HT4	LMIB	LMIB	LM
HT5	LMIB	LMIB	LM
HT6a	LMIB	LMIB	LM
HT6b	LMIB	LMIB	LM
HT7a	LMIB	LMIB	LM
HT7b	LMIB	LMIB	LM
HT8a	LMIB	LMIB	LM
HT8b	LMIB	LMIB	LM
HT9a	LMIB	LMIB	LM
HT9b	LMIB	LMIB	LM
HT10a	LMIB	LMIB	LM
HT10b	LMIB	LMIB	LM
HT11a	LMIB	LMIB	LM
HT11b	LMIB	LMIB	LM
HT12	LMIB	LMIB	LM
HT13	LMIB	LMIB	LM
HT14	LMIB	LMIB	LM
HT15	LMIB	LMIB	LM
HT16	LMIB	LMIB	LM
HT17	LMIB	LMIB	LM
HT18	LMIB	LMIB	LM
HT19	LMIB	LMIB	LM
HT20	LMIB	LMIB	LM
HT21	LMIB	LMIB	LM
HT22	LMIB	LMIB	LM
HT23a	LMIB	LMIB	LM
HT23b	LMIB	LMIB	LM
HT24a	LMIB	LMIB	LM
HT24b	LMIB	LMIB	LM
HT25a	LMIB	LMIB	LM
HT25b	LMIB	LMIB	LM
HT26a	LMIB	LMIB	LM
HT26b	LMIB	LMIB	LM
HT27a	LMIB	LMIB	LM
HT27b	LMIB	LMIB	LM
HT28a	LMIB	LMIB	LM
HT28b	LMIB	LMIB	LM
HT29	LMIB	LMIB	LM
HT30	LMIB	LMIB	LM
HT31	LMIB	LMIB	LM
HT32	LMIB	LMIB	LM
HT33	LMIB	LMIB	LM
HT34	LMIB	LMIB	LM
HT35	LMIB	LMIB	LM
HT36	LMIB	LMIB	LM
HT37	LMIB	LMIB	LM
HT38	LMIB	LMIB	LM
HT39	LMIB	LMIB	LM
HT40	LMIB	LMIB	LM
HT41a	LMIB	LMIB	LM
HT41b	LMIB	LMIB	LM
HT42+59	LMIB		LM
HT43	LMIB	LMIB	LM
HT44a	LMIB	LMIB	LM
HT44b	LMIB	LMIB	LM
HT45a	LMIB	LMIB	LM
HT45b	LMIB	LMIB	LM
HT46a	LMIB	LMIB	LM
HT46b	LMIB	LMIB	LM
HT47a	LMIB	LMIB	LM
HT47b	LMIB	LMIB	LM
HT49a	LMIB	LMIB	LM
HT49b	LMIB	LMIB	LM
HT50a	LMIB	LMIB	LM
HT50b	LMIB	LMIB	LM
HT51a	LMIB	LMIB	LM
HT51b	LMIB	LMIB	LM
HT52a	LMIB	LMIB	LM
HT52b	LMIB	LMIB	LM
HT53a	LMIB	LMIB	LM
HT53b	LMIB	LMIB	LM
HT54a	LMIB	LMIB	LM
HT54b	LMIB	LMIB	LM
HT55a	LMIB	LMIB	LM
HT55b	LMIB	LMIB	LM
HT56a	LMIB	LMIB	LM
HT56b	LMIB	LMIB	LM
HT57a	LMIB	LMIB	LM
HT57b	LMIB	LMIB	LM
HT58	LMIB	LMIB	LM
HT60	LMIB	LMIB	LM
HT61	LMIB	LMIB	LM
HT62+73	LMIB		LM
HT63	LMIB	LMIB	LM
HT64	LMIB	LMIB	LM
HT65	LMIB	LMIB	LM
HT66	LMIB	LMIB	LM
HT67	LMIB		LM
HT68	LMIB	LMIB	LM
HT69	LMIB	LMIB	LM
HT70	LMIB	LMIB	LM
HT72	LMIB	LMIB	LM
HT74	LMIB	LMIB	LM
HT75	LMIB	LMIB	LM
HT78	LMIB	LMIB	LM
HT79+83	LMIB		LM
HT80	LMIB	LMIB	LM
HT81	LMIB	LMIB	LM
HT82	LMIB	LMIB	LM
HT84	LMIB	LMIB	LM
HT85a	LMIB	LMIB	LM
HT85b	LMIB	LMIB	LM
HT86a	LMIB	LMIB	LM
HT86b	LMIB	LMIB	LM
HT87	LMIB	LMIB	LM
HT88	LMIB	LMIB	LM
HT89	LMIB	LMIB	LM
HT90	LMIB	LMIB	LM
HT91	LMIB	LMIB	LM
HT92	LMIB	LMIB	LM
HT93a	LMIB	LMIB	LM
HT93b	LMIB	LMIB	LM
HT94a	LMIB	LMIB	LM
HT94b	LMIB	LMIB	LM
HT95a	LMIB	LMIB	LM
HT95b	LMIB	LMIB	LM
HT96a	LMIB	LMIB	LM
HT96b	LMIB	LMIB	LM
HT97a	LMIB	LMIB	LM
HT97b	LMIB	LMIB	LM
HT98a	LMIB	LMIB	LM
HT98b	LMIB	LMIB	LM
HT99a	LMIB	LMIB	LM
HT99b	LMIB	LMIB	LM
HT100	LMIB	LMIB	LM
HT101	LMIB	LMIB	LM
HT102	LMIB	LMIB	LM
HT103	LMIB	LMIB	LM
HT104	LMIB	LMIB	LM
HT105	LMIB		LM
HT106	LMIB		LM
HT107	LMIB	LMIB	LM
HT108	LMIB	LMIB	LM
HT109	LMIB	LMIB	LM
HT110a	LMIB	LMIB	LM
HT110b	LMIB	LMIB	LM
HT111a	LMIB		LM
HT111b	LMIB		LM
HT112a	LMIB	LMIB	LM
HT112b	LMIB	LMIB	LM
HT113	LMIB	LMIB	LM
HT113ter	LMIB		LM
HT114a	LMIB	LMIB	LM
HT114b	LMIB	LMIB	LM
HT115a	LMIB	LMIB	LM
HT115b	LMIB	LMIB	LM
HT116a	LMIB	LMIB	LM
HT116b	LMIB	LMIB	LM
HT117a	LMIB	LMIB	LM
HT117b	LMIB	LMIB	LM
HT118	LMIB	LMIB	LM
HT119	LMIB	LMIB	LM
HT120	LMIB	LMIB	LM
HT121	LMIB	LMIB	LM
HT122a	LMIB	LMIB	LM
HT122b	LMIB	LMIB	LM
HT123+124a	LMIB		LM
HT123+124b	LMIB		LM
HT125a	LMIB		LM
HT125b	LMIB		LM
HT126a	LMIB	LMIB	LM
HT126b	LMIB	LMIB	LM
HT127a	LMIB	LMIB	LM
HT127b	LMIB	LMIB	LM
HT128a	LMIB	LMIB	LM
HT128b	LMIB	LMIB	LM
HT129	LMIB	LMIB	LM
HT130	LMIB	LMIB	LM
HT131a	LMIB	LMIB	LM
HT131b	LMIB	LMIB	LM
HT132	LMIB	LMIB	LM
HT133	LMIB	LMIB	LM
HT135a	LMIB	LMIB	LM
HT135b	LMIB	LMIB	LM
HT136a	LMIB	LMIB	LM
HT136b	LMIB	LMIB	LM
HT137	LMIB	LMIB	LM
HT139	LMIB	LMIB	LM
HT140	LMIB	LMIB	LM
HT141	LMIB	LMIB	LM
HT142	LMIB	LMIB	LM
HT144	LMIB	LMIB	LM
HT146	LMIB	LMIB	LM
HT147	LMIB	LMIB	LM
HT154.	LMIB		LM
HT154a	LMIB	LMIB	LM
HT154b	LMIB	LMIB	LM
HT154c	LMIB	LMIB	LM
HT154e	LMIB		LM
HT154g	LMIB		LM
HT154ja	LMIB		LM
HT154jb	LMIB		LM
HT154k	LMIB		LM
HT154l	LMIB		LM
HT154m	LMIB		LM
HT154n	LMIB		LM
HTW231a	LMIB		LM
HTW231b	LMIB		LM
HTW231c	LMIB		LM
HTW231d	LMIB		LM
HTW231e	LMIB		LM
HTW231f	LMIB		LM
HTWa1001	LMIB	LMIB	LM
HTWa1002	LMIB	LMIB	LM
HTWa1003	LMIB	LMIB	LM
HTWa1004	LMIB	LMIB	LM
HTWa1005	LMIB	LMIB	LM
HTWa1006	LMIB	LMIB	LM
HTWa1007	LMIB	LMIB	LM
HTWa1008	LMIB	LMIB	LM
HTWa1009	LMIB	LMIB	LM
HTWa1010	LMIB	LMIB	LM
HTWa1011	LMIB	LMIB	LM
HTWa1012	LMIB	LMIB	LM
HTWa1013	LMIB	LMIB	LM
HTWa1014	LMIB	LMIB	LM
HTWa1015	LMIB	LMIB	LM
HTWa1016	LMIB	LMIB	LM
HTWa1017	LMIB	LMIB	LM
HTWa1018	LMIB	LMIB	LM
HTWa1019	LMIB		LM
HTWa1020	LMIB		LM
HTWa1021	LMIB		LM
HTWa1021bis	LMIB		LM
HTWa1022	LMIB	LMIB	LM
HTWa1023	LMIB		LM
HTWa1024	LMIB	LMIB	LM
HTWa1025	LMIB		LM
HTWa1026	LMIB		LM
HTWa1027	LMIB		LM
HTWa1028	LMIB		LM
HTWa1029	LMIB		LM
HTWa1030	LMIB		LM
HTWa1031	LMIB	LMIB	LM
HTWa1032	LMIB	LMIB	LM
HTWa1033	LMIB		LM
HTWa1034	LMIB		LM
HTWa1035	LMIB		LM
HTWa1036	LMIB		LM
HTWa1037	LMIB		LM
HTWa1038	LMIB		LM
HTWa1039	LMIB		LM
HTWa1040	LMIB		LM
HTWa1041	LMIB		LM
