word	count	sites	n_docs
pa-ro	272	Knossos,Pylos,Thebes	120
ko-wo	218	Knossos,Mycenae,Pylos	176
pe-mo	201	Pylos	69
o-na-to	187	Pylos	93
e-ke	173	Knossos,Mycenae,Pylos	74
to-so-de	158	Pylos	75
ko-to-na	151	Pylos	86
ko-wa	151	Knossos,Pylos,Thebes	136
to-so	122	Khania,Knossos,Mycenae,Pylos,Thebes	64
e-ke-qe	101	Pylos	64
te-o-jo	97	Pylos	34
ke-ke-me-na	94	Knossos,Pylos	51
da-mo	90	Knossos,Pylos,Thebes	56
do-e-ro	90	Knossos,Pylos	49
do-e-ra	66	Knossos,Pylos	33
ku-ta-to	66	Knossos	66
do-so-mo	65	Pylos	17
pu-ro	64	Pylos	52
ka-ke-we	52	Knossos,Pylos	35
o-pe-ro	48	Knossos,Mycenae,Pylos	42
pa-i-to	47	Knossos	47
da-wo	44	Knossos	44
o-da-a2	42	Pylos	23
ko-re-te	41	Knossos,Pylos	7
e-ra	40	Knossos,Pylos,Thebes,Vases - Mycenae	39
e-ko-so	39	Knossos	39
o-pi	39	Knossos,Pylos	32
qa-ra	38	Knossos	35
ru-ki-to	37	Knossos	37
we-da-ne-wo	35	Pylos	22
me-zo-e	34	Knossos,Pylos	24
ti-ri-to	32	Knossos	32
to-sa	31	Knossos,Mycenae,Pylos,Thebes	28
ra-to	31	Knossos,Mycenae	31
pa-we-a	30	Knossos	30
do-ti-ja	29	Knossos	29
ri-jo-no	28	Knossos	28
o-pa	28	Knossos,Midea,Pylos,Thebes	27
su-ri-mo	27	Knossos	27
wo-wo	27	Knossos,Pylos	14
me-no	26	Knossos,Pylos	26
a-pu-do-si	26	Knossos,Mycenae,Pylos	26
ki-ti-me-na	24	Pylos	17
a-ke-o-jo	24	Knossos,Pylos	9
ra-su-to	24	Knossos	23
ta-ra-si-ja	24	Knossos,Mycenae,Pylos	21
u-ta-jo-jo	24	Knossos	24
tu-ni-ja	23	Knossos	23
ma-ro-pi	23	Pylos	4
u-ta-jo	23	Knossos	23
we-we-si-jo	23	Knossos,Pylos	23
ke-ro-si-ja	22	Pylos	2
e-ko-te	21	Knossos,Pylos	17
e-ko-si	20	Knossos,Pylos	16
o-no	20	Knossos,Mycenae,Pylos	18
tu-na-no	20	Knossos	20
to-sa-de	19	Knossos,Pylos	16
ra-ja	19	Knossos	19
da-mi-ni-jo	19	Knossos,Pylos,Thebes	19
a-ja-me-no	19	Knossos,Pylos	8
ku-pi-ri-jo	18	Knossos,Pylos	18
we-we-si-jo-jo	18	Knossos	18
i-qi-ja	18	Knossos,Thebes	18
ka-ko	18	Pylos	13
ko-no	18	Knossos,Mycenae,Pylos	12
wo-ka	18	Pylos	18
we-je-ke-e	18	Pylos	18
u-ta-no	18	Knossos	17
ka-na-ko	18	Mycenae	5
po-ro-ko-re-te	18	Knossos,Pylos	3
e-qe-ta	17	Knossos,Pylos	11
a-ta-ra-si-jo	17	Pylos	16
i-je-re-ja	17	Knossos,Pylos	12
se-to-i-ja	17	Knossos	17
ko-to-no-o-ko	17	Pylos	11
pa-ra-jo	16	Pylos	8
a-si-ja-ti-ja	16	Pylos	8
o-u-qe	16	Knossos,Pylos	11
e-re-pa-te-jo	16	Knossos,Pylos	9
po-ni-ki-jo	16	Knossos	15
o-u-di-do-si	16	Pylos	14
po-ti-ni-ja	16	Knossos,Mycenae,Pylos,Thebes	16
me-wi-jo-e	16	Knossos	11
a-ka	16	Knossos,Pylos,Thebes	16
a-ta-o	16	Pylos,Thebes	4
te-o	16	Knossos,Pylos,Thebes	16
ki-ri-jo-te	15	Knossos	15
o-ka	15	Knossos,Pylos	10
ta-ra-nu	15	Knossos,Pylos	7
po-se-da-o-ne	14	Pylos	14
e-ka-ra-e-we	14	Knossos	14
to-jo	14	Hagios Vasileios,Thebes	14
te-re-ta	14	Knossos,Pylos	13
me-ta-pa	14	Pylos	14
ka-ma	14	Knossos,Pylos	10
pa-si-te-o-i	14	Knossos	12
di-wi-je-we	13	Pylos	13
o-po-qo	13	Knossos	13
a-nu-to	13	Knossos,Thebes,Vases - Thebes	13
me-zo	13	Knossos	11
a-ko-da-mo	13	Thebes	13
ro-u-so	13	Pylos	13
e-ru-ta-ra	13	Mycenae,Pylos	9
pu-so	13	Knossos	13
du-ni-jo	13	Knossos,Pylos	12
a-ke-re-wa	13	Pylos	12
zo-wa	13	Knossos,Thebes	13
pe-i	12	Pylos	6
o-pi-i-ja-pi	12	Knossos	12
ka-pa	12	Knossos,Pylos,Thebes	12
a-ja-me-na	12	Knossos,Pylos	11
qa-mo	12	Knossos	12
po-ku-ta	12	Knossos,Pylos	9
ka-wi-jo	12	Pylos,Thebes	12
ri-jo	12	Knossos,Pylos	12
a-mi-ni-so	12	Knossos,Pylos	11
ke-ke-me	12	Knossos,Pylos,Tiryns	11
o-na	11	Knossos,Pylos	11
me-ta-qe	11	Pylos	5
a-ra-ro-mo-te-me-na	11	Knossos	11
me-na	11	Knossos,Pylos	11
ku-do-ni-ja	11	Knossos	11
wa-to	11	Knossos,Vases - Thebes	9
to-pe-za	11	Knossos,Pylos	4
a-mo-ta	11	Knossos,Pylos	11
me-u-jo	11	Knossos	8
ko-ri-ja-do-no	11	Knossos	11
i-jo	11	Knossos,Pylos	9
me-zo-a2	11	Pylos	11
me-u-jo-a2	11	Pylos	11
ka-ra-do-ro	11	Pylos	11
we-te-i-we-te-i	11	Pylos	1
ke-ra-ja-pi	10	Knossos	10
a-ko-ra	10	Knossos,Pylos,Thebes	6
ko-u-ra	10	Knossos,Mycenae,Pylos	10
wi-na-jo	10	Knossos,Vases - Knossos	10
qe-te-o	10	Knossos,Thebes	10
si-jo	10	Knossos,Pylos	10
re-u-ko-nu-ka	10	Knossos	10
ma-ka	10	Thebes	10
a-me-ro	10	Thebes	10
pe-ri-qo-te-jo	10	Knossos	10
e-ri-ka	10	Knossos	10
ne-wa	10	Knossos,Pylos,Thebes	9
pe-re	10	Knossos,Pylos,Thebes	6
pe-ma	10	Knossos,Pylos	7
qa-si-re-wi-ja	10	Knossos,Pylos	4
di-pa	10	Knossos,Pylos	3
wa-na-ka-te-ro	9	Knossos,Pylos,Vases - Thebes	8
pa-ko-we	9	Pylos	9
ka-ma-e-u	9	Pylos	6
ko-ro	9	Knossos,Pylos,Thebes	9
pu-na-so	9	Knossos	9
a3-mi-re-we	9	Knossos	9
ko-no-so	9	Knossos	9
pa-i-ti-ja	9	Knossos	9
a-te-jo	9	Knossos	9
zo-a	9	Knossos	9
ne-wo	9	Knossos,Mycenae,Pylos	9
ra-wa-ke-si-jo	9	Knossos,Pylos	9
ti-mi-to	9	Pylos	3
we-ka-ta	9	Knossos	4
a-tu-ko	8	Knossos,Pylos	8
a-ma	8	Knossos	8
ru-ki-ti-jo	8	Knossos	8
mo-ro-qa	8	Knossos,Pylos	5
a-ko-ro	8	Knossos,Pylos	8
ke-re-te-u	8	Pylos	6
po-me	8	Knossos,Pylos	8
a-pi-me-de-o	8	Knossos,Pylos	6
ke-ki-de	8	Pylos	4
po-ti-ni-ja-we-jo	8	Knossos,Pylos	8
wo-ze-qe	8	Pylos	4
ri-ne-ja-o	8	Pylos	8
ko-ru-to	8	Knossos,Pylos	8
da-ra-ko	8	Knossos	8
e-re-pa-te	8	Knossos,Pylos	8
po-ni-ki-ja	8	Knossos	8
o-a-ke-re-se	8	Pylos	1
si-to	8	Knossos,Mycenae,Thebes	7
re-u-ko-to-ro	8	Pylos	8
na-to	8	Knossos,Pylos,Thebes	7
pa-ra-ja	8	Knossos,Pylos,Thebes	7
a-ko-so-ta-o	8	Pylos	5
do-e	8	Knossos,Pylos	8
me-u-jo-e	8	Knossos	8
tu-ri-so	8	Knossos	8
sa-pi-de	8	Mycenae,Pylos	3
re-u	8	Knossos,Mycenae,Pylos	8
qe-re-ma-o	8	Knossos,Pylos,Thebes	8
a-ke	8	Knossos,Mycenae,Pylos	6
me-wi-jo	8	Knossos,Pylos	6
sa-qa-re-jo	8	Knossos	8
si-ja	8	Knossos,Pylos	7
pi-ri	7	Knossos,Pylos,Thebes	7
ro-o-wa	7	Pylos	7
e-qe-si-ja	7	Knossos,Pylos	7
ni-ja	7	Knossos	7
ko-ma-we-to	7	Knossos	7
si-ja-du-we	7	Knossos	7
po-ro	7	Knossos,Mycenae,Pylos	6
e-re-u-te-ra	7	Pylos	6
ka-si	7	Thebes	7
po-ti-ro	7	Knossos	7
so-de	7	Knossos,Pylos	6
pa-ka-na	7	Knossos	7
re-u-ka	7	Knossos,Mycenae	6
to-tu-no	7	Knossos,Thebes	7
pi-ra-ko-ro	7	Thebes	7
mi-ra	7	Knossos,Pylos,Thebes	7
ku-su-to-ro-qa	7	Knossos,Pylos,Thebes	7
a-pi-qo-to	7	Pylos	4
i-je-ro	7	Knossos,Pylos,Thebes	7
ti-jo	7	Knossos	7
ka-to-ro	7	Knossos	7
ko-ro-ku-ra-i-jo	7	Pylos	5
di-we	7	Khania,Knossos,Pylos	6
to-no	7	Pylos	5
pa-ki-ja-na	7	Pylos	5
to-na	7	Pylos	7
e-ko-to	7	Pylos	6
ta-ra2-to	7	Pylos	5
me-ri	7	Knossos,Pylos	6
we-te-re-u	7	Pylos	7
pa-ra-ko	7	Knossos,Pylos	6
e-re-ta	7	Knossos,Pylos	5
ni-jo	7	Knossos	7
e-ne-ka	7	Knossos,Pylos	5
a-ke-e	7	Pylos	1
da-we-u-pi	7	Pylos	2
ra-jo	6	Knossos,Pylos	6
