word	slots	n_tablets
we-we-si-jo	N1,N3,N5	20
u-ta-jo-jo	N1,N3	17
u-ta-jo	N1,N3,N5	19
we-we-si-jo-jo	N1,N3	13
da-mi-ni-jo	N1,N3	12
a3-mi-re-we	N1,N3	9
sa-qa-re-jo	N1,N3	8
a-te-jo	N1,N3	8
e-ka-ra-e-we	N1,N3	13
a-ka	N1,N1b,N3	9
po-ti-ni-ja-we-jo	N1,N3	5
ki-ri-jo-te	N3	9
we-da-ne-wo	N1,N1b	7
a-ke-o-jo	N1,N1b	8
po-ku-ta	N1,N1b	7
e-se-re-e-jo	N1,N3	4
ko-ma-we-to	N1,N3	6
ri-ne-ja-o	N1,N1b	6
wo-wo	N1b,N3	6
pa-ra-ko	N2,N4,N7	5
te-re-ta	N1,N1b,N4,N6	5
ni-jo	N1,N3,N6	4
ri-zo	N1,N5,N6	5
ke-re-te-u	N4	5
qa-na-no-to	N1,N3	4
ta-o	N1,N3	5
ta-ta-ro	N1,N2,N4,N7	4
a-da-ma-o	N2,N4,N5,N7	4
ka-ta	N1,N1b,N3	3
pe-ko	N1,N3	3
wi-na-jo	N3	5
a-ke-ra-wo	N1b,N2,N5,N6	3
qe-ta-ko	N1,N1b	5
du-ni-jo	N1,N1b,N2,N4	5
te-ra-po-si-jo	N1,N3	3
wa-na-ta-jo	N2,N4,N5,N7	4
ko-ma-we-te	N1,N2,N3	3
ko-do	N2,N4,N7	4
ru-ki-ti-jo	N1,N7	4
ra-jo	N1b,N3,N5,N6	2
o-ka-ra3	N1,N1b	4
ku-re-we	N1,N6	4
sa-ke-re-we	N2,N7	2
se-no	N1,N1b,N2,N4	3
i-ma-di-jo	N1,N2,N7	3
a-pi-a2-ro	N1,N4	4
pa-ta	N1b,N2,N5,N6	2
me-ri-du-ma-te	N1	4
ri-jo	N1,N3,N7	4
u-ra-jo	N1,N3	4
a-no-qo-ta	N1,N3,N6	4
ke-re-za	N1b	4
ke-ki-de	N1,N1b	3
a-ko-so-ta-o	N1	4
na-to	N4	4
ko-no-si-jo	N1,N5,N6	4
a-ka-ma-wo	N1,N2,N5	3
o-ku	N3,N5,N6	3
ne-wo-pe-o	N1,N1b	4
ru-ko-ro	N1,N2,N4	4
ra-wa-ke-si-jo	N2,N4,N7	4
ma-ro	N1,N3,N5,N6	3
ma-ra	N1,N1b,N5,N6	3
i-to	N1	4
po-ru-qo-ta	N1,N1b,N2,N5	3
po-so-ro	N1,N5	4
ku-pi-ri-jo	N1,N1b,N2	3
po-ko-ro	N1,N2	2
ra-ku-ro	N2,N4,N7	3
qe-ro	N1b,N3,N5,N6	3
a-pi-qo-ta	N1b,N2,N5	4
e-u-ko-ro	N3,N5,N6	3
qa-ra-jo	N5,N6,N7	3
wa-na-ka-te-ro	N4	4
a-tu-ko	N3,N5	4
a-ta-o	N1,N1b,N2,N5	2
qo-te-jo	N1,N3	2
a-ka-i-jo	N3,N5,N6	3
o-na-se-u	N1,N1b,N5	4
a-ma	N7	3
e-te-do-mo	N4	3
te-ko-to-na-pe	N1,N5	2
i-wa-so	N1	3
a-ka-ta-jo	N2,N3	3
a-ko-ra	N1,N5	2
e-ti-ra-wo	N1,N1b,N2	2
ra-wo	N3,N5,N6	2
a3-ti-jo-qo	N4	3
to-ro-wo	N1,N1b,N2	3
ma-u-ti-jo	N1,N1b,N2	2
mo-re-u	N1,N5	3
a-ko-ra-ja	N1	3
pa-ke-te-ja	N1,N1b	3
pu-ri	N1,N3,N5	3
a-ra-ko	N1,N3,N6	2
si-jo	N1,N3,N4	2
o-na-jo	N3,N5,N7	3
a-ko-mo-ni-jo	N3	3
ne-u	N1,N3,N6	3
e-ke-ro-qo-no	N1	3
u-ko-ro	N1,N1b,N6	2
ma-ri-ti-wi-jo	N1b,N2,N3	2
a-wo-i-jo	N1,N2,N3	2
ja-we-jo	N1,N3	2
ka-so	N1,N1b,N2	2
ke-re-no	N1,N1b,N2	2
e-zo-wo	N1,N2	2
ma-ti-ko	N5,N6	2
o-pa	N1,N7	3
ka-ri-se-u	N1,N5	3
o-wi-to-no	N1	3
ka-ra-u-ko	N1,N5	3
a3-so-ni-jo	N1	3
ra-ma-jo	N1,N5	3
ma-no-u-ro	N5	3
ke-ki	N1,N5	3
e-u-me-ne	N1,N4	3
a-nu-mo	N3,N5,N6	2
me-no	N1,N5,N6	2
di-ro	N1,N3	2
e-u-po-ro-wo	N1,N5	3
me-tu-ra	N1b	3
su-ra-se	N1	3
ti-ni-ja-we-jo	N1,N3,N4	2
mi-ka-ta	N1,N5,N6	2
da-ko-ro	N1	3
ra-mi-ni-jo	N1,N1b	3
di-wi-ja-wo	N4,N5,N6	2
wo-di-jo	N1,N5,N6	2
ti-jo	N3,N5,N7	3
ke-re-u	N1,N4	3
o-ku-ka	N1,N1b,N2	2
ko-ru-no	N1,N1b,N2	2
o-wa-ko	N1,N2,N5	2
qo-te-ro	N1,N3	3
pa-qo-si-jo	N5,N6	3
na-su-to	N1	3
te-u	N1,N3	3
qa-ra-i-so	N3,N5,N6	2
ra-wo-ti-jo	N1,N5,N6	2
ko-we-jo	N1,N3	2
a-e-ri-qo	N1,N2,N5	3
a-we-ke-se-u	N1,N5	3
a-si-wi-jo	N1,N3	3
ku-ka-so	N1,N5,N6	2
a-no-qo	N1,N3	2
te-wa	N1,N5,N6	2
di-ka-ta-ro	N1,N3,N6	2
ta-ra-ma-ta	N4	3
pe-ri-qo-te-jo	N1,N3	2
ta-de-so	N1b,N3	3
ke-we-no	N1,N2,N5	2
a-ke-ti-ri-ja	N1	3
i-jo-te	N1,N6	2
no-si-ro	N1,N2,N6	2
a-ta-no	N1,N5,N6	2
ka-ra-do-ro	N1,N1b	3
a-ko-to-wo	N1,N2	3
i-jo	N1,N7	3
e-re-ta	N1,N6	2
ra-wo-qo-no-jo	N1,N3	2
du-pu2-ra-zo	N3,N5,N6	2
wa-je	N1,N5,N6	2
mi-ra-ti-ja	N1	3
ke-ro-si-ja	N1,N1b	2
ka-to-ro	N1	3
ko-ro-ki-ja	N1	3
wa-ke-i-jo	N5,N6	2
ko-we	N1,N3	2
wo-ti-jo	N1,N3,N5	3
re-u-ka-ta	N1,N5	3
mo-ro-qo-ro	N2,N7	2
we-ro	N1,N6	2
o-pi-si-jo	N1,N5	3
na-ro	N1,N3,N7	3
ke-sa-do-ro	N1,N5,N6	2
ro-ko	N1b,N2,N5	2
ka-ta-wa	N1,N1b,N2	2
a-ka-to	N3,N6	2
e-ra-ja	N1,N1b	2
qo-u-ko-ro	N1,N1b	2
ti-no	N1,N1b	2
pi-ru-te	N1b	2
ka-da-no	N3	2
qe-ja-me-no	N4	2
ne-ti-ja-no	N1,N1b	2
si-mi-te-u	N1	2
na-e-si-jo	N1	2
ma-ro-pi	N1b	2
o-pe-re-ta	N1,N1b	2
ma-ma-ro	N1,N1b	2
e-re-e-we	N1,N1b	2
to-u-na-ta	N3	2
pe-re-ke-we	N1	2
i-se-we-ri-jo	N1,N3	2
ta-jo-jo	N3	2
tu-ra-te-we	N1,N6	1
ka-ma-e-u	N4	2
e-do-mo-ne-u	N1	2
wo-ro-to	N3	2
pe-re-qo-no-jo	N5,N7	2
ri-jo-te	N3	2
a-ra-ka-te-ja	N1	2
e-ru-to-ro	N3,N5	2
ti-ko-ro	N1,N3	2
a-pi-da-ta	N5,N6	1
ri-ne-ja	N1	2
a-te-i-ja-ta	N3	2
ka-ma	N4,N7	2
me-ri-da-ma-te	N1	2
a-to-po-qo	N1	2
pu-ko-ro	N1	2
a-ko-so-ta	N1	2
