word	slots	n_tablets	series
u-ta-jo	N1,N1b,N3,N5	19	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv,KN V
we-we-si-jo	N1,N3,N5	19	KN Da,KN Db,KN Dd,KN De,KN Dg,KN Dv,KN L,KN Le,KN X,PY Jn
u-ta-jo-jo	N1,N1b,N3	17	KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv
we-we-si-jo-jo	N1,N3	13	KN Ak,KN Da,KN Db,KN Dc,KN Dd,KN De,KN Dv,KN Od,KN X
da-mi-ni-jo	N1,N3,N5	12	KN Da,KN Dc,KN Df,KN Dk,KN Dq,KN Dv,KN V,PY An
e-ko-te	N1,N1b	11	KN B,PY Aq,PY Ed,PY Jn
e-ka-ra-e-we	N1,N3	11	KN Dm
a3-mi-re-we	N1,N3	9	KN Dm
ki-ri-jo-te	N1,N1b,N3	8	KN Da,KN Db,KN Dc,KN Dd,KN Df,KN Dv
a-te-jo	N1,N3	8	KN Da,KN Db,KN Dc,KN De,KN Dl,KN Dv
sa-qa-re-jo	N1,N3	8	KN Dl
a-ka	N1,N3	7	KN D,KN Da,KN Dn,KN V
a-ke-o-jo	N1,N1b	7	KN X,PY Cn
po-ku-ta	N1,N1b,N6	6	KN B,KN C,KN L,PY An
ri-jo	N1,N1b,N3,N6,N7	6	KN B,KN Df,KN E,KN Le,PY An,PY Cn,PY Ma,PY Na,PY Xn
po-ti-ro	N5,N6	6	KN V
we-da-ne-wo	N1,N1b,N5	6	PY An,PY Cn,PY Es,PY Na,PY Un
a-no-qo-ta	N1,N3,N6	5	KN Ak,KN Ap,KN Da,KN Dq,KN Vc,KN X
te-re-ta	N1,N1b,N4,N6	5	KN Am,KN B,KN Uf,KN X,PY Eb,PY Ed,PY En,PY Eo,PY Eq,PY Er
ri-zo	N1,N5,N6	5	KN As,KN B,KN V,PY An
wo-wo	N1,N1b,N2,N3,N5	5	KN Dc,KN Dk,PY Cn,PY Eb,PY Na
pe-ko	N1,N1b,N3	5	KN Dc,KN Dv,PY Cn
da-ra-ko	N1	5	KN Db,KN Dd,KN Dk,KN Dv,KN X
ra-wa-ke-si-jo	N2,N4,N7	5	KN E,PY Ea,PY Er,PY Na
qe-ta-ko	N1,N1b	5	PY Cn,PY Jn
ke-re-te-u	N4	5	PY Ea
ko-no-si-jo	N1,N6	4	KN Am,KN As,KN B,KN V,KN Xd
ko-ma-we-to	N1,N1b,N3	4	KN Ap,KN Dk,KN Dv,KN X
qe-ro	N1b,N3,N5,N6	4	KN As,KN Db,KN V
a-ra-ko	N1,N1b,N3,N6	4	KN As,KN C,KN Db,KN De
mi-ru-ro	N1,N1b,N5,N6	4	KN As,KN C,KN V
du-ni-jo	N1,N2,N4	4	KN As,KN Ga,KN Xd,PY Ae,PY Ea,PY Eb,PY Ep,PY Fn,PY Un
u-ra-jo	N1,N1b,N3	4	KN B,KN Db,KN Dv
ru-ki-ti-jo	N1,N7	4	KN C,KN E,KN Ga,KN Og,KN Xd
wa-du-na-ro	N1b,N3	4	KN C,KN Db,KN Dc,KN Dk
wi-na-jo	N1b,N3	4	KN Da,KN Db,KN Dv,KN Fh,KN K,KN X
e-u-ko-ro	N1b,N3,N5,N6	4	KN Da,KN Db,KN Dd,KN V
qa-na-no-to	N1,N3	4	KN Da,KN Db,KN Dv
si-ja-du-we	N1,N3	4	KN Dk,KN Dl
po-ti-ni-ja-we-jo	N1,N3	4	KN Dl,PY Jn
a-ma	N7	4	KN As,KN E,KN F
wa-na-ta-jo	N2,N4,N5,N7	4	KN V,PY Eo,PY Ep,PY Jn
o-na-se-u	N1,N5	4	KN V,PY Jn
ko-do	N2,N4,N7	4	KN Uf,PY Ea,PY Vn
pa-ra-ko	N2,N4,N7	4	PY Eb,PY Eo,PY Ep
ke-re-u	N1,N4	3	KN Ag,PY Ea,PY Ep
a-ke-ti-ri-ja	N1,N5	3	KN Ai,PY Aa
si-ra-ko	N1b,N3,N6	3	KN Ai,KN B,KN Db
e-ne-ka	N1,N1b	3	KN Am,PY Ae,PY An,PY Ea
o-pa	N1,N7	3	KN Am,KN Ce,KN Dm,KN E,KN L,KN Sd,KN Sf,KN So,KN Ws,PY Sh,PY Wr,TH Wu
