HT: 329 типов / 531 токенов
не-HT: 305 типов / 369 токенов
весь: 618 типов / 900 токенов

маркер                  HT           не-HT            весь
                  осн. (p)        осн. (p)        осн. (p)
-JA              5 (0.005)       3 (0.028)       8 (0.004) РЕПЛ.
-RO              3 (0.032)       2 (0.070)       5 (0.018) только HT
-ME              1 (0.295)       0 (1.000)       2 (0.312)
-TE              0 (1.000)       3 (0.207)       6 (0.083)
-RA              3 (0.088)       1 (0.474)       6 (0.029)
-TI              1 (0.678)       1 (0.620)       4 (0.365)
-TA              1 (0.602)       2 (0.089)       3 (0.311)
A-               4 (0.027)       6 (0.005)      14 (0.002) РЕПЛ.
DA-              1 (0.771)       0 (1.000)       6 (0.012)
SI-              2 (0.138)       1 (0.244)       5 (0.007)
QE-              2 (0.110)       1 (0.092)       4 (0.010)
KI-              2 (0.185)       0 (1.000)       4 (0.037)
PI-              2 (0.042)       2 (0.007)       4 (0.005) РЕПЛ.
JA-              0 (1.000)       3 (0.029)       3 (0.320) только не-HT
I-               1 (0.539)       1 (0.497)       4 (0.215)
