документов с >=2 словами: 367

оператор            тип-гипотеза   n  нач%  фин%   p(нач)   p(фин) p̃сем(н) p̃сем(ф)
KU-RO               предикат?     36    8%   39%   0.9689   0.0015   1.0000   0.0080
KI-RO               предикат?     15   13%   20%   0.5254   0.2306   0.9998   0.9212
TE                  дейксис?      28   29%   14%   0.4701   0.9672   0.9992   1.0000
A-DU                дейксис?       9   67%    0%   0.0010   1.0000   0.0049   1.0000
SI-RU-TE            предикат?      7   14%   71%   0.9489   0.0308   1.0000   0.2523
SA-RA2              ?             19    5%   11%   0.9951   0.9622   1.0000   1.0000
KI                  ?             15    7%   40%   0.9219   0.0153   1.0000   0.1224
A-TA-I-*301-WA-JA   дейксис?      11  100%    0%   0.0001   1.0000   0.0001   1.0000

Чтение: подтверждение гипотезы = у «предикатных» значим финальный избыток
(p̃сем(ф)<0.05 при незначимом начальном), у «дейктических» — начальный.
