id	id_norm	kind	site	period	url
ARKH 1a	ARKH1a	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=26
ARKH 1b	ARKH1b	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=28
ARKH 2	ARKH2	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=30
ARKH 3a	ARKH3a	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=32
ARKH 3b	ARKH3b	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=34
ARKH 4a	ARKH4a	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=36
ARKH 4b	ARKH4b	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=38
ARKH 5	ARKH5	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=40
ARKH 6	ARKH6	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=42
ARKH 7	ARKH7	Tablet	Arkhanes	LM I	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=3&ce=540ecor2uudeumpibfksblm7ss9s2lsi&sp=42
GO 2a	GO2a	Tablet	GOURNIA	LM IB	https://editions.efa.gr/?r=publication&id=1050
GO 2b	GO2b	Tablet	GOURNIA	LM IB	https://editions.efa.gr/?r=publication&id=1050
GO Wc 1a	GOWc1a	Roundel	Gournia	LM IB	https://cefael.efa.gr/detail.php?site_id=1&actionID=page&serie_id=EtCret&volume_number=21&issue_number=2&ce=cooqm3a5q3s12vmvdqppfim4sk80ag09&sp=64
